threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.34,0.9369047619047619,0.46706231454005936,0.6233663366336634,0.8597464939341232,106,1796,2557,1574
0.35,0.9315476190476191,0.46996996996997,0.624750499001996,0.8597464939341232,115,1765,2588,1565
0.36,0.9291666666666667,0.4760597743214395,0.6295624117765679,0.8597464939341232,119,1718,2635,1561
0.37,0.925,0.4791859389454209,0.6313223644119439,0.8597464939341232,126,1689,2664,1554
0.38,0.9202380952380952,0.4817700218136491,0.6324401718142769,0.8597464939341232,134,1663,2690,1546
0.39,0.9160714285714285,0.4854889589905363,0.634639175257732,0.8597464939341232,141,1631,2722,1539
0.4,0.9101190476190476,0.4886545222115692,0.6358910376377626,0.8597464939341232,151,1600,2753,1529
0.41,0.9035714285714286,0.4920583468395462,0.6371458551941238,0.8597464939341232,162,1567,2786,1518
0.42,0.8928571428571429,0.4930966469428008,0.6353240152477764,0.8597464939341232,180,1542,2811,1500
0.43,0.8869047619047619,0.4978282659538924,0.6377059704686497,0.8597464939341232,190,1503,2850,1490
0.44,0.8803571428571428,0.5,0.6377749029754204,0.8597464939341232,201,1479,2874,1479
0.45,0.8738095238095238,0.5041208791208791,0.6393728222996515,0.8597464939341232,212,1444,2909,1468
0.46,0.8672619047619048,0.5089067411805798,0.6414263702399295,0.8597464939341232,223,1406,2947,1457
0.47,0.8630952380952381,0.5138199858256556,0.6441581519324745,0.8597464939341232,230,1372,2981,1450
0.48,0.8541666666666666,0.5184248554913294,0.6452338129496403,0.8597464939341232,245,1333,3020,1435
0.49,0.8452380952380952,0.523405823811279,0.6464830412019121,0.8597464939341232,260,1293,3060,1420
0.5,0.8327380952380953,0.5243628185907047,0.6435142594296228,0.8597464939341232,281,1269,3084,1399
0.51,0.8244047619047619,0.528827796869034,0.6443358920679227,0.8597464939341232,295,1234,3119,1385
0.52,0.8166666666666667,0.534684333593141,0.6462552991050401,0.8597464939341232,308,1194,3159,1372
0.53,0.8089285714285714,0.5394998015085352,0.64729697547035,0.8597464939341232,321,1160,3193,1359
0.54,0.8017857142857143,0.5460072963113093,0.6496262358331324,0.8597464939341232,333,1120,3233,1347
0.55,0.7946428571428571,0.553712152633762,0.6526521632852603,0.8597464939341232,345,1076,3277,1335
0.56,0.7863095238095238,0.5623669646658153,0.6557458426408538,0.8597464939341232,359,1028,3325,1321
0.57,0.7708333333333334,0.5674846625766872,0.6537102473498233,0.8597464939341232,385,987,3366,1295
0.58,0.7571428571428571,0.5711719802424786,0.6511389813155875,0.8597464939341232,408,955,3398,1272
0.59,0.7440476190476191,0.5787037037037037,0.6510416666666666,0.8597464939341232,430,910,3443,1250
0.6,0.7303571428571428,0.5876436781609196,0.6512738853503185,0.8597464939341232,453,861,3492,1227
0.61,0.7172619047619048,0.5941814595660749,0.6499460625674218,0.8597464939341232,475,823,3530,1205
0.62,0.6982142857142857,0.5990806945863125,0.6448598130841121,0.8597464939341232,507,785,3568,1173
0.63,0.6839285714285714,0.6060126582278481,0.6426174496644296,0.8597464939341232,531,747,3606,1149
0.64,0.6714285714285714,0.6127104834329169,0.6407270661743822,0.8597464939341232,552,713,3640,1128
0.65,0.6511904761904762,0.6194790486976217,0.6349390597794544,0.8597464939341232,586,672,3681,1094
0.66,0.6321428571428571,0.6254416961130742,0.6287744227353463,0.8597464939341232,618,636,3717,1062
0.67,0.6130952380952381,0.6365883807169345,0.624620982413584,0.8597464939341232,650,588,3765,1030
0.68,0.5869047619047619,0.6444444444444445,0.6143302180685358,0.8597464939341232,694,544,3809,986
0.69,0.5678571428571428,0.6547700754975978,0.6082244182339815,0.8597464939341232,726,503,3850,954
0.7,0.5517857142857143,0.6664270309130123,0.6037121458808206,0.8597464939341232,753,464,3889,927
0.71,0.5327380952380952,0.6759818731117825,0.5958721704394141,0.8597464939341232,785,429,3924,895
0.72,0.5083333333333333,0.6832,0.5829351535836177,0.8597464939341232,826,396,3957,854
0.73,0.4880952380952381,0.6960950764006791,0.5738278516445067,0.8597464939341232,860,358,3995,820
0.74,0.46190476190476193,0.7048138056312443,0.5580726357425386,0.8597464939341232,904,325,4028,776
0.75,0.4392857142857143,0.7214076246334311,0.5460599334073252,0.8597464939341232,942,285,4068,738
0.76,0.4041666666666667,0.7372421281216069,0.5221068819684737,0.8597464939341232,1001,242,4111,679
0.77,0.37797619047619047,0.7514792899408284,0.502970297029703,0.8597464939341232,1045,210,4143,635
0.78,0.35,0.7606727037516171,0.47941296371789643,0.8597464939341232,1092,185,4168,588
0.79,0.32321428571428573,0.7702127659574468,0.45534591194968554,0.8597464939341232,1137,162,4191,543
0.8,0.2970238095238095,0.7858267716535433,0.43110151187904966,0.8597464939341232,1181,136,4217,499
0.81,0.2702380952380952,0.7992957746478874,0.40391459074733094,0.8597464939341232,1226,114,4239,454
0.82,0.24523809523809523,0.807843137254902,0.37625570776255707,0.8597464939341232,1268,98,4255,412
0.83,0.22023809523809523,0.8185840707964602,0.34709193245778613,0.8597464939341232,1310,82,4271,370
0.84,0.19702380952380952,0.8295739348370927,0.31842231842231844,0.8597464939341232,1349,68,4285,331
0.85,0.1732142857142857,0.8362068965517241,0.2869822485207101,0.8597464939341232,1389,57,4296,291
0.86,0.15,0.8456375838926175,0.25480283114256824,0.8597464939341232,1428,46,4307,252
0.87,0.13095238095238096,0.8461538461538461,0.2268041237113402,0.8597464939341232,1460,40,4313,220
0.88,0.10595238095238095,0.839622641509434,0.18816067653276955,0.8597464939341232,1502,34,4319,178
0.89,0.08511904761904762,0.8461538461538461,0.15467820443482963,0.8597464939341232,1537,26,4327,143
0.9,0.06964285714285715,0.8357142857142857,0.12857142857142856,0.8597464939341232,1563,23,4330,117
