threshold,recall,precision,f1,auc,fn,fp,tn,tp
0.52,0.7965474722564735,0.2687188019966722,0.40186625194401243,0.809698345376504,165,1758,3464,646
0.53,0.7792848335388409,0.2761031017911752,0.40774193548387094,0.809698345376504,179,1657,3565,632
0.54,0.7681874229346486,0.2855178735105408,0.4163047109923154,0.809698345376504,188,1559,3663,623
0.55,0.750924784217016,0.28972407231208375,0.4181256436663234,0.809698345376504,202,1493,3729,609
0.56,0.7311960542540074,0.2945851962245405,0.419971671388102,0.809698345376504,218,1420,3802,593
0.57,0.7065351418002466,0.29874869655891556,0.41993404177354343,0.809698345376504,238,1345,3877,573
0.58,0.6843403205918619,0.30477759472817134,0.4217325227963526,0.809698345376504,256,1266,3956,555
0.59,0.654747225647349,0.31216931216931215,0.42277070063694266,0.809698345376504,280,1170,4052,531
0.6,0.6288532675709001,0.3203517587939699,0.42446941323345816,0.809698345376504,301,1082,4140,510
0.61,0.5782983970406905,0.32123287671232875,0.41303390576838395,0.809698345376504,342,991,4231,469
0.62,0.5548705302096177,0.33607169529499625,0.4186046511627907,0.809698345376504,361,889,4333,450
0.63,0.528976572133169,0.352506162695152,0.4230769230769231,0.809698345376504,382,788,4434,429
0.64,0.4845869297163995,0.3666044776119403,0.41741901221455124,0.809698345376504,418,679,4543,393
0.65,0.4599260172626387,0.38100102145045966,0.41675977653631285,0.809698345376504,438,606,4616,373
0.66,0.43279901356350187,0.39043381535038935,0.4105263157894737,0.809698345376504,460,548,4674,351
0.67,0.40197287299630086,0.4004914004914005,0.4012307692307692,0.809698345376504,485,488,4734,326
0.68,0.376078914919852,0.4132791327913279,0.3938024531956101,0.809698345376504,506,433,4789,305
0.69,0.344019728729963,0.41829085457271364,0.37753721244925575,0.809698345376504,532,388,4834,279
0.7,0.31812577065351416,0.42225859247135844,0.3628691983122363,0.809698345376504,553,353,4869,258
0.71,0.2922318125770654,0.4397031539888683,0.3511111111111111,0.809698345376504,574,302,4920,237
0.72,0.2725030826140567,0.45194274028629855,0.34,0.809698345376504,590,268,4954,221
0.73,0.24537607891491986,0.46604215456674475,0.32148626817447495,0.809698345376504,612,228,4994,199
0.74,0.22318125770653513,0.4689119170984456,0.30242272347535504,0.809698345376504,630,205,5017,181
0.75,0.187422934648582,0.4735202492211838,0.26855123674911663,0.809698345376504,659,169,5053,152
0.76,0.16646115906288533,0.4838709677419355,0.24770642201834864,0.809698345376504,676,144,5078,135
0.77,0.1405672009864365,0.4810126582278481,0.21755725190839695,0.809698345376504,697,123,5099,114
0.78,0.11097410604192355,0.45918367346938777,0.17874875868917578,0.809698345376504,721,106,5116,90
0.79,0.10234278668310727,0.48823529411764705,0.1692150866462793,0.809698345376504,728,87,5135,83
0.8,0.09494451294697903,0.55,0.1619348054679285,0.809698345376504,734,63,5159,77
0.81,0.07274969173859433,0.5363636363636364,0.1281216069489685,0.809698345376504,752,51,5171,59
0.82,0.06658446362515413,0.5625,0.11907386990077178,0.809698345376504,757,42,5180,54
0.83,0.04315659679408138,0.5384615384615384,0.07990867579908675,0.809698345376504,776,30,5192,35
0.84,0.035758323057953144,0.5272727272727272,0.06697459584295612,0.809698345376504,782,26,5196,29
0.85,0.025893958076448828,0.5384615384615384,0.04941176470588235,0.809698345376504,790,18,5204,21
0.86,0.016029593094944512,0.5416666666666666,0.031137724550898204,0.809698345376504,798,11,5211,13
0.87,0.012330456226880395,0.5,0.024067388688327317,0.809698345376504,801,10,5212,10
0.88,0.009864364981504316,0.47058823529411764,0.01932367149758454,0.809698345376504,803,9,5213,8
0.89,0.007398273736128237,0.6,0.014616321559074299,0.809698345376504,805,4,5218,6
0.9,0.006165228113440197,0.625,0.01221001221001221,0.809698345376504,806,3,5219,5
