threshold,recall,precision,f1,tn,fp,fn,tp
0.63,0.6052631578947368,0.5067168189145621,0.5516232816613045,3557,918,615,943
0.64,0.5706033376123235,0.515063731170336,0.5414129110840439,3638,837,669,889
0.65,0.5474967907573812,0.5271940667490729,0.5371536523929471,3710,765,705,853
0.66,0.517971758664955,0.538,0.5277959450621321,3782,693,751,807
0.67,0.49165596919127086,0.5483178239083751,0.5184433164128596,3844,631,792,766
0.68,0.46405648267008986,0.5591647331786543,0.507190459487899,3905,570,835,723
0.69,0.4345314505776637,0.577152600170503,0.4957890882460637,3979,496,881,677
0.7,0.4011553273427471,0.5868544600938967,0.47655356462066334,4035,440,933,625
0.71,0.3607188703465982,0.5922023182297155,0.44834463502193855,4088,387,996,562
0.72,0.3299101412066752,0.6068476977567887,0.42744282744282747,4142,333,1044,514
0.73,0.3010269576379974,0.6236702127659575,0.40606060606060607,4192,283,1089,469
0.74,0.2663671373555841,0.6345565749235474,0.3752260397830018,4236,239,1143,415
0.75,0.2336328626444159,0.6442477876106195,0.34291097503532736,4274,201,1194,364
0.76,0.1970474967907574,0.6545842217484008,0.302910705476073,4313,162,1251,307
0.77,0.17586649550706032,0.6650485436893204,0.2781725888324873,4337,138,1284,274
0.78,0.1521181001283697,0.6732954545454546,0.2481675392670157,4360,115,1321,237
0.79,0.13029525032092426,0.6835016835016835,0.2188679245283019,4381,94,1355,203
0.8,0.10462130937098844,0.6763485477178424,0.1812117843246248,4397,78,1395,163
0.81,0.08664955070603338,0.6716417910447762,0.1534963047185901,4409,66,1423,135
0.82,0.07060333761232349,0.6748466257668712,0.12783265543288785,4422,53,1448,110
0.83,0.05969191270860077,0.6992481203007519,0.10999408633944412,4435,40,1465,93
0.84,0.04685494223363286,0.6952380952380952,0.08779314491882141,4443,32,1485,73
0.85,0.03530166880616174,0.6962025316455697,0.06719609040928527,4451,24,1503,55
0.86,0.029525032092426188,0.7419354838709677,0.056790123456790124,4459,16,1512,46
0.87,0.023106546854942234,0.75,0.0448318804483188,4463,12,1522,36
0.88,0.01797175866495507,0.7777777777777778,0.03513174404015056,4467,8,1530,28
0.89,0.014120667522464698,0.7857142857142857,0.027742749054224466,4469,6,1536,22
0.9,0.007702182284980745,0.75,0.015247776365946633,4471,4,1546,12
