food_name,serving_weight_g,energy_kcal,carbohydrate_g,sugar_g,fat_g,protein_g,calcium_mg,sodium_mg,potassium_mg,magnesium_mg,iron_mg,zinc_mg,cholesterol_mg,trans_fat_g,dm_score,htn_score,dl_score,obe_score,anem_score
가자미조림,300.0,301.29,20.337,5.994,6.903,40.701,114.12,1621.23,1153.38,,3.288,1.563,165.0,0.0,100.0,74.2,97.2,100.0,96.2
갈치조림,100.0,99.385,5.494,0.5,3.916,10.675,38.665,463.82,302.985,6.18,1.154,0.603,42.0,0.0,100.0,100.0,100.0,100.0,67.4
고등어조림,250.0,459.335,10.96,1.46,25.35,45.3725,124.9575,1177.955,1033.4125,,5.185,2.6775,170.15,0.0,100.0,89.6,90.1,100.0,100.0
꽁치조림,150.0,280.0882,8.358,1.3944,16.6656,22.5932,113.6226,679.4172,448.77,,3.3432,1.1438,67.2,0.0,100.0,100.0,100.0,100.0,93.6
동태조림,250.0,270.6125,16.77,4.995,4.0925,39.0325,148.7625,1440.175,982.825,,2.06,1.4125,211.05,0.0,100.0,80.2,91.7,100.0,85.8
북어조림,100.0,184.581,15.656,2.9064,3.035,23.884,97.103,761.39,487.86,8.05,1.805,0.551,103.95,0.0,100.0,100.0,100.0,100.0,79.6
조기조림,300.0,378.2615,14.2419,1.45,16.2632,41.4294,108.4745,1682.899,1222.7415,,3.7468,2.4302,176.61,0.0,100.0,71.7,95.0,100.0,100.0
코다리조림,100.0,146.67,4.574,0.5,5.616,18.458,42.41,433.18,324.835,3.85,0.853,0.509,77.6,0.0,100.0,100.0,100.0,100.0,68.2
달걀장조림,100.0,133.725,10.032,3.1713,6.395,8.751,45.515,636.605,267.37,15.6,1.35,1.068,308.75,0.0,100.0,94.7,76.4,100.0,69.8
메추리알장조림,100.0,205.08,7.358,2.4522,13.691,12.107,65.222,758.9,279.19,4.75,1.933,1.719,530.64,0.0,100.0,90.6,72.0,100.0,77.8
돼지고기메추리알장조림,50.0,62.969,3.14,0.8376,2.1065,7.616,11.295,555.785,153.47,,0.7335,0.86,77.3,0.0,100.0,98.2,100.0,100.0,62.5
소고기메추리알장조림,50.0,61.215,3.446,0.999,2.211,6.672,17.18,608.295,169.545,,1.7795,0.8595,70.17,0.0,100.0,96.9,100.0,100.0,71.2
고추조림,100.0,105.878,14.827,2.988,4.185,2.856,31.719,802.456,185.443,18.67,0.894,0.441,0.0,0.0,100.0,92.1,100.0,100.0,61.4
감자조림,50.0,39.013,8.4025,0.7854,0.203,1.552,9.763,265.9155,222.5195,,0.41,0.253,0.0,0.0,100.0,100.0,100.0,100.0,55.0
우엉조림,30.0,68.496,15.5052,7.6111,0.3285,1.0971,15.6213,242.2806,106.8468,,0.321,0.2367,0.0,0.0,97.7,100.0,100.0,100.0,54.0
알감자조림,50.0,56.226,10.4805,1.5667,1.2635,1.3835,13.1045,241.732,214.524,,0.819,0.2795,0.0,0.0,100.0,100.0,100.0,100.0,58.6
(검은)콩조림,20.0,56.832,6.9838,2.9153,2.0858,3.8488,24.801,102.853,33.393,,0.8756,0.312,0.0,0.0,100.0,100.0,100.0,100.0,60.4
콩조림,20.0,59.222,7.7546,2.9153,1.9389,3.5661,14.384,234.701,128.364,,0.8679,0.4281,0.0,0.0,100.0,100.0,100.0,100.0,60.5
두부고추장조림,50.0,67.1415,4.0255,1.89,3.998,5.137,69.9085,199.2275,79.705,,0.961,0.5765,0.0,0.0,100.0,100.0,100.0,100.0,62.5
땅콩조림,20.0,80.4188,6.5448,3.2709,5.1148,2.9102,14.627,154.246,90.949,,0.5824,0.715,0.0,0.0,100.0,100.0,100.0,100.0,58.5
