number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
37,0.5349182763744428,2026-05-15 16:58:14.925071,2026-05-15 16:58:17.200731,0 days 00:00:02.275660,0.892682829559204,0.06578597958785874,6,13,681,20,0.6261682884242815,0.51,0.0268,0.8513,0.6423,0.8036,COMPLETE
38,0.531988188976378,2026-05-15 16:58:17.200964,2026-05-15 16:58:18.957023,0 days 00:00:01.756059,0.786655311074315,0.08570917343997565,5,28,882,33,0.7345724834057166,0.47,0.1351,0.8416,0.6404,0.8043,COMPLETE
39,,2026-05-15 16:58:18.957258,2026-05-15 16:58:25.091512,0 days 00:00:06.134254,0.963084659687611,0.01037995197395602,6,20,960,26,0.6608702129219076,,,,,,PRUNED
40,0.534320987654321,2026-05-15 16:58:25.091750,2026-05-15 16:58:27.108329,0 days 00:00:02.016579,0.8470653338183594,0.055858293602637915,4,19,433,32,0.705941744797673,0.52,0.0354,0.8545,0.6423,0.8051,COMPLETE
41,0.5366583541147132,2026-05-15 16:58:27.108571,2026-05-15 16:58:28.586742,0 days 00:00:01.478171,0.9059430725090708,0.07195638542606791,4,16,840,19,0.8322065460988418,0.53,0.0289,0.8538,0.6426,0.8006,COMPLETE
42,0.5395325708602685,2026-05-15 16:58:28.586976,2026-05-15 16:58:30.153104,0 days 00:00:01.566128,0.9596045666365352,0.06988750565188864,4,44,810,23,0.8608235590734876,0.53,0.034,0.8541,0.6468,0.8073,COMPLETE
43,0.5398009950248757,2026-05-15 16:58:30.153337,2026-05-15 16:58:32.429050,0 days 00:00:02.275713,0.6328972664689336,0.08877148414040857,5,22,765,30,0.6468072290711504,0.51,0.0236,0.8526,0.647,0.8073,COMPLETE
44,0.5420375865479723,2026-05-15 16:58:32.429294,2026-05-15 16:58:33.688498,0 days 00:00:01.259204,0.6851661501925811,0.07571078415027646,3,25,698,40,0.6208451321540042,0.53,0.0212,0.8575,0.6512,0.8155,COMPLETE
45,0.5414781297134238,2026-05-15 16:58:33.688740,2026-05-15 16:58:34.789415,0 days 00:00:01.100675,0.7264998012402673,0.07892248075269528,3,26,683,18,0.6168520502081616,0.54,0.0314,0.856,0.6463,0.8013,COMPLETE
46,0.5384995064165844,2026-05-15 16:58:34.789689,2026-05-15 16:58:35.847889,0 days 00:00:01.058200,0.6887610630959861,0.09950416793468649,3,29,707,21,0.6294190020536167,0.53,0.0258,0.8578,0.6475,0.8118,COMPLETE
47,0.5448136958710977,2026-05-15 16:58:35.848139,2026-05-15 16:58:36.838650,0 days 00:00:00.990511,0.7990615809571168,0.09043519045538354,3,24,653,25,0.6667269367337112,0.54,0.0224,0.8568,0.6498,0.8051,COMPLETE
48,0.5389221556886228,2026-05-15 16:58:36.838896,2026-05-15 16:58:38.241265,0 days 00:00:01.402369,0.8052352496156023,0.08884758565270197,4,24,560,26,0.6739595190221244,0.53,0.0414,0.8547,0.6452,0.8036,COMPLETE
49,,2026-05-15 16:58:38.241510,2026-05-15 16:58:44.359369,0 days 00:00:06.117859,0.9450848528129137,0.013125462043123889,5,12,638,29,0.7306804642645887,,,,,,PRUNED
