number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
42,0.26337033299697277,2026-05-15 17:00:59.029230,2026-05-15 17:00:59.983733,0 days 00:00:00.954503,0.8219639314472231,0.07034332942819792,3,48,898,48,0.8303856289010968,0.49,0.0256,0.8051,0.3968,0.8043,COMPLETE
43,0.26056688214818496,2026-05-15 17:00:59.983988,2026-05-15 17:01:01.102644,0 days 00:00:01.118656,0.8271773800850456,0.07399024136037216,4,48,952,49,0.8280912051072646,0.46,0.0293,0.802,0.394,0.8074,COMPLETE
44,0.2610619469026549,2026-05-15 17:01:01.102940,2026-05-15 17:01:01.891785,0 days 00:00:00.788845,0.8073336123280217,0.09994849772867515,3,44,900,42,0.7972090033759146,0.49,0.024,0.8061,0.3958,0.8182,COMPLETE
45,,2026-05-15 17:01:01.892031,2026-05-15 17:01:04.186152,0 days 00:00:02.294121,0.8639383434063052,0.04639682109261649,6,33,863,46,0.7263567335617382,,,,,,PRUNED
46,0.2583170254403131,2026-05-15 17:01:04.186377,2026-05-15 17:01:05.009380,0 days 00:00:00.823003,0.9369007473144937,0.07755048404320142,3,41,776,40,0.8375120322596852,0.48,0.0163,0.8027,0.3921,0.8136,COMPLETE
47,,2026-05-15 17:01:05.009613,2026-05-15 17:01:06.157020,0 days 00:00:01.147407,0.7686688262848126,0.05907682614406179,4,38,948,52,0.6618121810472227,,,,,,PRUNED
48,0.26134663341645886,2026-05-15 17:01:06.157266,2026-05-15 17:01:07.364182,0 days 00:00:01.206916,0.6710383613553137,0.08888021725314647,4,25,652,34,0.7025787341918014,0.44,0.0712,0.7984,0.3949,0.8074,COMPLETE
49,,2026-05-15 17:01:07.364422,2026-05-15 17:01:08.765274,0 days 00:00:01.400852,0.9083742026776681,0.013125462043123889,3,47,762,48,0.7838353316529133,,,,,,PRUNED
50,0.25792296440760604,2026-05-15 17:01:08.765520,2026-05-15 17:01:10.101941,0 days 00:00:01.336421,0.8088894252172678,0.03811612819957586,3,42,847,44,0.8141192141691316,0.47,0.0497,0.8016,0.3919,0.8151,COMPLETE
51,0.2614087301587302,2026-05-15 17:01:10.102186,2026-05-15 17:01:11.212172,0 days 00:00:01.109986,0.7043569608129572,0.06562163744901453,3,49,823,52,0.8598169297055194,0.47,0.0192,0.8044,0.3955,0.812,COMPLETE
52,0.2553191489361702,2026-05-15 17:01:11.212405,2026-05-15 17:01:12.114766,0 days 00:00:00.902361,0.7417033228523667,0.06843873923407613,3,45,707,61,0.8793398010449973,0.45,0.1264,0.7978,0.3887,0.8136,COMPLETE
53,0.2623612512613522,2026-05-15 17:01:12.114994,2026-05-15 17:01:13.260909,0 days 00:00:01.145915,0.7584434549062421,0.05566861624458567,3,49,791,57,0.8575504146618894,0.48,0.0167,0.8045,0.3953,0.8012,COMPLETE
54,0.2591674925668979,2026-05-15 17:01:13.261149,2026-05-15 17:01:14.284094,0 days 00:00:01.022945,0.7771887623561551,0.07990150492120744,4,50,886,47,0.8945002417159371,0.46,0.0235,0.804,0.3922,0.8059,COMPLETE
55,0.26639344262295084,2026-05-15 17:01:14.284319,2026-05-15 17:01:15.327235,0 days 00:00:01.042916,0.7911942926146399,0.06149206752690757,3,47,961,53,0.749706926979118,0.49,0.0256,0.8048,0.3998,0.8012,COMPLETE
56,0.2567368936795688,2026-05-15 17:01:15.327497,2026-05-15 17:01:16.386873,0 days 00:00:01.059376,0.7935557651954112,0.04983506011362686,3,10,969,52,0.7472974225950906,0.47,0.0963,0.798,0.3896,0.8074,COMPLETE
57,0.26060908637044433,2026-05-15 17:01:16.387121,2026-05-15 17:01:17.406566,0 days 00:00:01.019445,0.8166069611497735,0.06068285994318134,3,42,915,49,0.7167228615206329,0.49,0.0229,0.8063,0.3937,0.8043,COMPLETE
