threshold,recall,precision,f1,auc,tn,fp,fn,tp
0.39,0.9160714285714285,0.48717948717948717,0.6360818350898946,0.8596239046962686,2733,1620,141,1539
0.4,0.9083333333333333,0.4894162924951892,0.6360983743226344,0.8596239046962686,2761,1592,154,1526
0.41,0.9035714285714286,0.49381912817176316,0.6386201093815734,0.8596239046962686,2797,1556,162,1518
0.42,0.8976190476190476,0.49670619235836627,0.6395250212044106,0.8596239046962686,2825,1528,172,1508
0.43,0.893452380952381,0.5006671114076051,0.6417272338606242,0.8596239046962686,2856,1497,179,1501
0.44,0.888095238095238,0.504565437943862,0.643519516929049,0.8596239046962686,2888,1465,188,1492
0.45,0.8785714285714286,0.5084395452979676,0.6441195723325333,0.8596239046962686,2926,1427,204,1476
0.46,0.8708333333333333,0.5111809923130678,0.6442095992954645,0.8596239046962686,2954,1399,217,1463
0.47,0.861904761904762,0.5151191746709356,0.6448452460476508,0.8596239046962686,2990,1363,232,1448
0.48,0.8523809523809524,0.5199709513435004,0.6459179070816419,0.8596239046962686,3031,1322,248,1432
0.49,0.8428571428571429,0.5242502776749353,0.6464277562200411,0.8596239046962686,3068,1285,264,1416
0.5,0.8369047619047619,0.5287702143663031,0.6480755934547131,0.8596239046962686,3100,1253,274,1406
0.51,0.8279761904761904,0.5309160305343511,0.6469767441860466,0.8596239046962686,3124,1229,289,1391
0.52,0.8184523809523809,0.5352277150642273,0.6472111084961167,0.8596239046962686,3159,1194,305,1375
0.53,0.8083333333333333,0.5401750198886237,0.6475917978063901,0.8596239046962686,3197,1156,322,1358
0.54,0.8017857142857143,0.5449029126213593,0.6488439306358381,0.8596239046962686,3228,1125,333,1347
0.55,0.7958333333333333,0.5543117744610282,0.6534701857282502,0.8596239046962686,3278,1075,343,1337
0.56,0.7851190476190476,0.5603228547153781,0.653941497273178,0.8596239046962686,3318,1035,361,1319
0.57,0.7708333333333334,0.5662439877568868,0.6528863120746156,0.8596239046962686,3361,992,385,1295
0.58,0.7589285714285714,0.5725190839694656,0.6526746864601997,0.8596239046962686,3401,952,405,1275
0.59,0.7422619047619048,0.5778498609823911,0.6498176133402814,0.8596239046962686,3442,911,433,1247
0.6,0.7279761904761904,0.5837708830548926,0.6479470198675497,0.8596239046962686,3481,872,457,1223
0.61,0.7095238095238096,0.5880611741489886,0.643107634205557,0.8596239046962686,3518,835,488,1192
0.62,0.6934523809523809,0.5937818552497451,0.6397583745194948,0.8596239046962686,3556,797,515,1165
0.63,0.6779761904761905,0.5988433228180863,0.6359575656058069,0.8596239046962686,3590,763,541,1139
0.64,0.6648809523809524,0.6077257889009793,0.6350198976691301,0.8596239046962686,3632,721,563,1117
0.65,0.6488095238095238,0.6151241534988713,0.6315179606025493,0.8596239046962686,3671,682,590,1090
0.66,0.6351190476190476,0.6254396248534584,0.6302421736562316,0.8596239046962686,3714,639,613,1067
0.67,0.6142857142857143,0.6374305126621371,0.6256441345862382,0.8596239046962686,3766,587,648,1032
0.68,0.5922619047619048,0.6465237166991553,0.6182044113078596,0.8596239046962686,3809,544,685,995
0.69,0.5720238095238095,0.6577686516084873,0.6119070359758039,0.8596239046962686,3853,500,719,961
0.7,0.5452380952380952,0.659942363112392,0.5971316818774446,0.8596239046962686,3881,472,764,916
0.71,0.5297619047619048,0.6722054380664653,0.59254327563249,0.8596239046962686,3919,434,790,890
0.72,0.5136904761904761,0.6860095389507154,0.5874744724302247,0.8596239046962686,3958,395,817,863
0.73,0.49166666666666664,0.6947014297729184,0.5758103868943882,0.8596239046962686,3990,363,854,826
0.74,0.46904761904761905,0.7124773960216998,0.5656855707106964,0.8596239046962686,4035,318,892,788
0.75,0.4380952380952381,0.7272727272727273,0.5468053491827637,0.8596239046962686,4077,276,944,736
0.76,0.4035714285714286,0.7369565217391304,0.5215384615384615,0.8596239046962686,4111,242,1002,678
0.77,0.36904761904761907,0.7451923076923077,0.49363057324840764,0.8596239046962686,4141,212,1060,620
0.78,0.3458333333333333,0.7604712041884817,0.47545008183306053,0.8596239046962686,4170,183,1099,581
0.79,0.32083333333333336,0.7678062678062678,0.45256087321578503,0.8596239046962686,4190,163,1141,539
0.8,0.2875,0.7703349282296651,0.4187256176853056,0.8596239046962686,4209,144,1197,483
0.81,0.2625,0.7846975088967971,0.39339875111507583,0.8596239046962686,4232,121,1239,441
0.82,0.2386904761904762,0.7940594059405941,0.36704805491990844,0.8596239046962686,4249,104,1279,401
0.83,0.21607142857142858,0.8139013452914798,0.34148635936030103,0.8596239046962686,4270,83,1317,363
0.84,0.1875,0.824607329842932,0.3055286129970902,0.8596239046962686,4286,67,1365,315
0.85,0.16964285714285715,0.8357771260997068,0.28203859475507176,0.8596239046962686,4297,56,1395,285
0.86,0.14404761904761904,0.8316151202749141,0.24556062912227294,0.8596239046962686,4304,49,1438,242
0.87,0.11785714285714285,0.8497854077253219,0.20700470465237847,0.8596239046962686,4318,35,1482,198
0.88,0.1005952380952381,0.8711340206185567,0.18036286019210246,0.8596239046962686,4328,25,1511,169
0.89,0.07678571428571429,0.8716216216216216,0.14113785557986872,0.8596239046962686,4334,19,1551,129
0.9,0.05952380952380952,0.8620689655172413,0.111358574610245,0.8596239046962686,4337,16,1580,100
