number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
37,0.5079646017699115,2026-05-15 15:43:51.299613,2026-05-15 15:43:54.735623,0 days 00:00:03.436010,0.6501690770610403,0.08918251656383044,7,42,674,60,0.6688767227674524,0.42,0.016,0.8499,0.6371,0.8542,COMPLETE
38,,2026-05-15 15:43:54.735865,2026-05-15 15:43:58.804108,0 days 00:00:04.068243,0.6010478258046938,0.011134469670150212,8,24,203,23,0.6049446472032879,,,,,,PRUNED
39,,2026-05-15 15:43:58.804353,2026-05-15 15:44:01.788419,0 days 00:00:02.984066,0.7830420562953653,0.05708702589857406,6,37,314,51,0.9721240798504459,,,,,,PRUNED
40,,2026-05-15 15:44:01.788654,2026-05-15 15:44:06.859697,0 days 00:00:05.071043,0.8423811436920813,0.04394268804326693,7,19,440,55,0.7258737260646373,,,,,,PRUNED
41,0.5204918032786885,2026-05-15 15:44:06.859924,2026-05-15 15:44:10.893355,0 days 00:00:04.033431,0.6930600865237524,0.06817710752433259,7,32,502,56,0.7652364032165041,0.44,0.0178,0.8507,0.6458,0.8504,COMPLETE
42,0.5137078651685393,2026-05-15 15:44:10.893590,2026-05-15 15:44:15.425453,0 days 00:00:04.531863,0.674151480955992,0.07034332942819792,8,29,596,47,0.7887515192673944,0.41,0.02,0.8502,0.6405,0.8504,COMPLETE
43,0.5206912232833106,2026-05-15 15:44:15.425691,2026-05-15 15:44:18.692591,0 days 00:00:03.266900,0.7428694463522975,0.08364206546157023,7,32,367,51,0.7478655343068344,0.44,0.0229,0.8506,0.6463,0.8519,COMPLETE
44,0.5147584973166368,2026-05-15 15:44:18.692831,2026-05-15 15:44:21.422348,0 days 00:00:02.729517,0.744629963655436,0.09983370103472483,7,32,366,43,0.7494526173194799,0.43,0.0273,0.8491,0.643,0.8564,COMPLETE
45,0.5092674315975286,2026-05-15 15:44:21.422599,2026-05-15 15:44:25.670824,0 days 00:00:04.248225,0.7082104192103076,0.08495850839477709,7,13,461,55,0.7729516629214919,0.39,0.0593,0.8372,0.6393,0.8586,COMPLETE
46,,2026-05-15 15:44:25.671075,2026-05-15 15:44:28.534096,0 days 00:00:02.863021,0.8078309921649757,0.07878035947914681,6,27,322,61,0.828681958100428,,,,,,PRUNED
47,0.5175675675675676,2026-05-15 15:44:28.534370,2026-05-15 15:44:32.699343,0 days 00:00:04.164973,0.7400235075817215,0.087907956459217,8,31,515,64,0.7115367095047009,0.42,0.0204,0.8491,0.6448,0.8549,COMPLETE
48,0.5153153153153153,2026-05-15 15:44:32.699572,2026-05-15 15:44:35.785720,0 days 00:00:03.086148,0.7752236916155708,0.06022347347832921,6,21,249,59,0.7473476926734046,0.43,0.0813,0.841,0.642,0.8512,COMPLETE
49,0.5192220714608774,2026-05-15 15:44:35.785957,2026-05-15 15:44:38.328198,0 days 00:00:02.542241,0.6919670356592078,0.06501566759328128,5,29,437,29,0.6980943851552871,0.46,0.0241,0.8532,0.6459,0.8542,COMPLETE
