iter	Passed	Remaining
577	49574	30533
578	49657	30446
579	49734	30355
580	49811	30264
581	49886	30171
582	49966	30082
583	50052	29996
584	50134	29909
585	50214	29820
586	50293	29730
587	50372	29641
588	50458	29555
589	50539	29467
590	50624	29381
591	50702	29290
592	50786	29204
593	50865	29114
594	50943	29024
595	51029	28939
596	51109	28850
597	51186	28760
598	51264	28670
599	51348	28584
600	51436	28499
601	51520	28413
602	51597	28322
603	51680	28236
604	51762	28148
605	51839	28058
606	51918	27969
607	51997	27880
608	52074	27790
609	52157	27703
610	52237	27615
611	52314	27524
612	52395	27436
613	52477	27349
614	52561	27263
615	52648	27178
616	52733	27092
617	52811	27003
618	52894	26917
619	52974	26828
620	53060	26743
621	53138	26654
622	53220	26567
623	53298	26478
624	53378	26390
625	53461	26303
626	53545	26217
627	53625	26129
628	53708	26042
629	53788	25955
630	53867	25866
631	53945	25777
632	54025	25689
633	54103	25601
634	54179	25511
635	54258	25422
636	54335	25333
637	54412	25244
638	54491	25156
639	54571	25068
640	54653	24982
641	54737	24895
642	54821	24810
643	54902	24723
644	54979	24634
645	55064	24549
646	55150	24463
647	55230	24376
648	55307	24287
649	55387	24200
650	55468	24113
651	55546	24024
652	55627	23937
653	55706	23849
654	55784	23761
655	55862	23673
656	55941	23585
657	56020	23497
658	56100	23410
659	56180	23323
660	56264	23237
661	56345	23150
662	56424	23063
663	56502	22975
664	56584	22888
665	56661	22800
666	56745	22715
667	56821	22626
668	56898	22538
669	56974	22449
670	57051	22361
671	57134	22275
672	57211	22187
673	57294	22101
674	57375	22015
675	57456	21928
676	57542	21844
677	57622	21757
678	57702	21670
679	57786	21584
680	57876	21501
681	57952	21413
682	58027	21324
683	58109	21238
684	58188	21151
685	58274	21067
686	58352	20979
687	58438	20895
688	58520	20809
689	58604	20723
690	58688	20638
691	58773	20553
692	58852	20466
693	58930	20379
694	59008	20292
695	59081	20202
696	59164	20117
697	59245	20031
698	59324	19944
699	59402	19857
700	59478	19769
701	59558	19683
702	59635	19595
703	59714	19509
704	59788	19420
705	59865	19333
706	59944	19246
707	60022	19159
708	60102	19073
709	60182	18987
710	60261	18900
711	60341	18814
712	60418	18727
713	60502	18642
714	60577	18554
715	60652	18466
716	60736	18381
717	60818	18296
718	60899	18210
719	60980	18124
720	61058	18038
721	61138	17951
722	61220	17866
723	61298	17779
724	61375	17693
725	61453	17606
726	61534	17520
727	61608	17433
728	61687	17347
729	61767	17260
730	61852	17176
731	61934	17091
732	62014	17005
733	62099	16920
734	62177	16834
735	62255	16748
736	62333	16661
737	62414	16576
738	62496	16490
739	62574	16404
740	62649	16317
741	62730	16232
742	62806	16145
743	62884	16059
744	62962	15972
745	63033	15885
746	63110	15798
747	63194	15714
748	63273	15628
749	63350	15541
750	63428	15455
751	63512	15371
752	63592	15285
753	63671	15199
754	63755	15115
755	63897	15044
756	63974	14958
757	64058	14873
758	64141	14788
759	64217	14702
760	64294	14616
761	64373	14530
762	64454	14445
763	64532	14359
764	64611	14273
765	64696	14189
766	64779	14104
767	64858	14018
768	64939	13933
769	65024	13849
770	65106	13764
771	65186	13679
772	65269	13594
773	65346	13508
774	65422	13422
775	65502	13336
776	65585	13252
777	65663	13166
778	65747	13081
779	65828	12996
780	65906	12911
781	65989	12826
782	66064	12740
783	66143	12654
784	66223	12569
785	66306	12485
786	66385	12399
787	66461	12313
788	66539	12228
789	66620	12143
790	66701	12058
791	66781	11973
792	66861	11888
793	66938	11802
794	67022	11718
795	67099	11632
796	67175	11547
797	67258	11462
798	67342	11378
799	67422	11293
800	67499	11207
801	67580	11122
802	67661	11038
803	67735	10952
804	67815	10867
805	67894	10782
806	67971	10696
807	68047	10611
808	68127	10526
809	68215	10442
810	68298	10358
811	68381	10274
812	68462	10189
813	68539	10104
814	68622	10019
815	68701	9934
816	68780	9849
817	68858	9764
818	68937	9679
819	69023	9595
820	69099	9510
821	69182	9426
822	69258	9341
823	69340	9256
824	69424	9172
825	69505	9087
826	69585	9003
827	69667	8918
828	69748	8834
829	69829	8749
830	69906	8664
831	69991	8580
832	70075	8496
833	70159	8412
834	70236	8327
835	70316	8242
836	70395	8158
837	70479	8074
838	70559	7989
839	70640	7904
840	70721	7820
841	70797	7735
842	70876	7650
843	70952	7566
844	71027	7481
845	71105	7396
846	71183	7311
847	71266	7227
848	71347	7143
849	71423	7058
850	71503	6973
851	71580	6889
852	71661	6804
853	71738	6720
854	71814	6635
855	71890	6550
856	71971	6466
857	72051	6382
858	72131	6297
859	72208	6213
860	72296	6129
861	72376	6045
862	72458	5961
863	72537	5876
864	72615	5792
865	72698	5708
866	72775	5623
867	72853	5539
868	72932	5455
869	73013	5371
870	73095	5287
871	73173	5202
872	73253	5118
873	73335	5034
874	73412	4950
875	73499	4866
876	73576	4782
877	73655	4697
878	73731	4613
879	73816	4529
880	73898	4445
881	73977	4361
882	74057	4277
883	74135	4193
884	74215	4109
885	74299	4025
886	74377	3941
887	74463	3857
888	74539	3773
889	74623	3689
890	74698	3604
891	74778	3520
892	74854	3436
893	74938	3352
894	75017	3268
895	75094	3184
896	75179	3101
897	75257	3017
898	75340	2933
899	75419	2849
900	75497	2765
901	75577	2681
902	75659	2597
903	75738	2513
904	75818	2429
905	75895	2345
906	75978	2261
907	76053	2177
908	76133	2093
909	76211	2009
910	76287	1926
911	76363	1842
912	76441	1758
913	76521	1674
914	76604	1590
915	76685	1506
916	76772	1423
917	76855	1339
918	76941	1255
919	77025	1172
920	77109	1088
921	77189	1004
922	77271	920
923	77352	837
924	77436	753
925	77520	669
926	77596	585
927	77678	502
928	77754	418
929	77839	334
930	77914	251
931	77995	167
932	78072	83
933	78154	0
