number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,user_attrs_best_thr,user_attrs_fold_recall_std,user_attrs_oof_auc,user_attrs_oof_f1,user_attrs_oof_recall,state
45,0.25766567754698316,2026-05-15 17:08:58.930885,2026-05-15 17:09:01.441826,0 days 00:00:02.510941,0.6692004373887092,0.021047639169052612,4,48,475,22,0.7227548751978928,0.44,0.1266,0.7967,0.3901,0.8028,COMPLETE
46,,2026-05-15 17:09:01.442066,2026-05-15 17:09:03.160566,0 days 00:00:01.718500,0.6133600036615126,0.01855439135187481,3,27,333,53,0.7625777756298355,,,,,,PRUNED
47,0.2633434038267875,2026-05-15 17:09:03.160824,2026-05-15 17:09:06.720340,0 days 00:00:03.559516,0.6321268502283235,0.025570719510257578,5,44,456,48,0.8616661280430248,0.44,0.0282,0.8016,0.397,0.8059,COMPLETE
48,0.2591508052708638,2026-05-15 17:09:06.720569,2026-05-15 17:09:10.038130,0 days 00:00:03.317561,0.6835270801902763,0.030866695837271755,6,46,220,41,0.8881973956416813,0.41,0.0278,0.8037,0.3936,0.8182,COMPLETE
49,0.2623688155922039,2026-05-15 17:09:10.038364,2026-05-15 17:09:11.611340,0 days 00:00:01.572976,0.7150167432912341,0.02815433924866693,3,48,509,64,0.829172020887504,0.49,0.0149,0.8073,0.3962,0.8089,COMPLETE
50,,2026-05-15 17:09:11.611574,2026-05-15 17:09:13.155759,0 days 00:00:01.544185,0.826206658623486,0.04084383206288226,4,39,266,54,0.6777578281293373,,,,,,PRUNED
51,0.25938735177865613,2026-05-15 17:09:13.155987,2026-05-15 17:09:15.380177,0 days 00:00:02.224190,0.6194158216208738,0.02446648949985358,3,45,444,51,0.7765304893756142,0.49,0.0329,0.8081,0.3928,0.8089,COMPLETE
52,0.26649746192893403,2026-05-15 17:09:15.380418,2026-05-15 17:09:16.764318,0 days 00:00:01.383900,0.6013529850375153,0.052081784728601054,3,43,503,52,0.8015645397927998,0.49,0.0258,0.8073,0.4009,0.8089,COMPLETE
53,0.26195219123505975,2026-05-15 17:09:16.764546,2026-05-15 17:09:18.156200,0 days 00:00:01.391654,0.6011059343181872,0.049929985362711655,3,43,511,57,0.806227780922381,0.49,0.0198,0.8082,0.3959,0.8105,COMPLETE
54,0.27050882658359293,2026-05-15 17:09:18.156447,2026-05-15 17:09:19.458258,0 days 00:00:01.301811,0.6508777812701941,0.05417941179961037,3,49,559,59,0.7052426311890871,0.5,0.0322,0.8089,0.4047,0.8028,COMPLETE
55,0.2599508599508599,2026-05-15 17:09:19.458492,2026-05-15 17:09:20.877833,0 days 00:00:01.419341,0.6451276488379399,0.05552367860784383,4,49,574,59,0.7022339419341771,0.47,0.0364,0.8047,0.3942,0.8151,COMPLETE
56,0.2606516290726817,2026-05-15 17:09:20.878060,2026-05-15 17:09:22.630940,0 days 00:00:01.752880,0.6337886743970078,0.07680373067821802,5,50,647,35,0.7340486881881136,0.45,0.0263,0.8022,0.3933,0.8012,COMPLETE
57,,2026-05-15 17:09:22.631180,2026-05-15 17:09:25.161431,0 days 00:00:02.530251,0.6967610726584873,0.053527465481070166,7,47,627,52,0.6519354564240367,,,,,,PRUNED
58,0.26568825910931176,2026-05-15 17:09:25.161677,2026-05-15 17:09:26.136136,0 days 00:00:00.974459,0.6528880124899283,0.09708669173027216,3,49,376,46,0.7632452916758529,0.49,0.0327,0.8058,0.4,0.8089,COMPLETE
59,0.2613861386138614,2026-05-15 17:09:26.136367,2026-05-15 17:09:27.051229,0 days 00:00:00.914862,0.6600180863024033,0.09938329298706644,3,49,358,47,0.7648520033957895,0.49,0.0231,0.8061,0.3957,0.8136,COMPLETE
60,0.2687564234326824,2026-05-15 17:09:27.051514,2026-05-15 17:09:27.880645,0 days 00:00:00.829131,0.9584360616515397,0.0821062501596309,3,49,381,49,0.7177264507132041,0.5,0.0145,0.8102,0.4031,0.8059,COMPLETE
61,0.25940400586223744,2026-05-15 17:09:27.880890,2026-05-15 17:09:28.828760,0 days 00:00:00.947870,0.7281736297920333,0.07888088017243415,3,49,386,45,0.7148286744166242,0.49,0.0242,0.8075,0.3939,0.8182,COMPLETE
62,0.26294820717131473,2026-05-15 17:09:28.828991,2026-05-15 17:09:29.638333,0 days 00:00:00.809342,0.934558574004523,0.09060410478088243,3,48,323,49,0.6894550609220187,0.5,0.0391,0.8097,0.3974,0.8136,COMPLETE
63,0.2644084934277047,2026-05-15 17:09:29.638595,2026-05-15 17:09:30.445831,0 days 00:00:00.807236,0.9703349146737689,0.08496352217331996,3,46,556,50,0.7842456013930738,0.5,0.0286,0.8091,0.3982,0.8059,COMPLETE
64,0.2620827105132038,2026-05-15 17:09:30.446066,2026-05-15 17:09:31.406716,0 days 00:00:00.960650,0.9064398757288807,0.06784693576698218,3,50,510,46,0.7291821417608081,0.49,0.027,0.8088,0.3961,0.8105,COMPLETE
65,0.26260609086370446,2026-05-15 17:09:31.407035,2026-05-15 17:09:32.357772,0 days 00:00:00.950737,0.8573322698049524,0.06773008300367014,3,41,479,52,0.7586392385606006,0.49,0.0281,0.8063,0.3967,0.8105,COMPLETE
