number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
14,0.8043915503081197,2026-05-15 02:15:10.692562,2026-05-15 02:15:12.065851,0 days 00:00:01.373289,0.5908077985215608,221,5,974,0.007535401303599731,0.010102372979366652,0.45042834710787033,COMPLETE
15,0.7958884469150483,2026-05-15 02:15:12.066083,2026-05-15 02:15:12.534276,0 days 00:00:00.468193,0.3023659478915789,108,6,449,1.7071203434692406,0.09297331361681932,0.013034489450593763,COMPLETE
16,0.8043078439363764,2026-05-15 02:15:12.534526,2026-05-15 02:15:13.109440,0 days 00:00:00.574914,0.5085518841171188,180,4,591,0.07112492053815615,0.033921815935674685,0.0010498612518662768,COMPLETE
17,0.7373186617747829,2026-05-15 02:15:13.109673,2026-05-15 02:15:14.739406,0 days 00:00:01.629733,0.6938644135608953,217,10,427,0.0011098932672800501,0.01623151773436874,0.6664310287751155,COMPLETE
18,0.8028550838456856,2026-05-15 02:15:14.739641,2026-05-15 02:15:15.158522,0 days 00:00:00.418881,0.4184396772301279,112,5,205,0.014022464474467339,0.10954014241706563,0.11199386100325105,COMPLETE
19,0.7792654712751372,2026-05-15 02:15:15.158793,2026-05-15 02:15:15.888263,0 days 00:00:00.729470,0.19576077776357967,223,7,670,0.04067248501524307,0.05785784290717925,0.015146976786209439,COMPLETE
20,0.795502146141644,2026-05-15 02:15:15.888492,2026-05-15 02:15:16.419442,0 days 00:00:00.530950,0.7124120287497742,126,6,772,0.0032079170311769276,0.03703950238541676,0.053824802473418386,COMPLETE
21,0.8055119642260927,2026-05-15 02:15:16.419678,2026-05-15 02:15:16.957483,0 days 00:00:00.537805,0.554209516067495,182,4,682,0.011863572957172856,0.05858323999503979,0.009475873647450755,COMPLETE
22,0.8057937796130474,2026-05-15 02:15:16.957721,2026-05-15 02:15:17.518075,0 days 00:00:00.560354,0.6520466768765767,201,4,545,0.03223641379085087,0.054702103298506256,0.05241698887461043,COMPLETE
23,0.8018792965925721,2026-05-15 02:15:17.518308,2026-05-15 02:15:17.930986,0 days 00:00:00.412678,0.3970859482179212,168,5,768,0.1386324801786192,0.07538228371139771,0.030622952718046922,COMPLETE
24,0.8085827720244569,2026-05-15 02:15:17.931220,2026-05-15 02:15:18.744769,0 days 00:00:00.813549,0.5348058667796688,227,4,643,0.046515265831110875,0.03136081348279186,0.22511439206037157,COMPLETE
25,0.8024498930589118,2026-05-15 02:15:18.744994,2026-05-15 02:15:19.292484,0 days 00:00:00.547490,0.5280232930926886,236,5,632,0.06124842392044603,0.029617129625354455,0.1928750233616067,COMPLETE
26,0.8076366184798166,2026-05-15 02:15:19.292713,2026-05-15 02:15:20.772761,0 days 00:00:01.480048,0.3606445241280038,218,4,532,0.008139137963160036,0.017050160074617987,0.814610895809603,COMPLETE
27,0.8026895601035362,2026-05-15 02:15:20.772991,2026-05-15 02:15:22.152882,0 days 00:00:01.379891,0.0161909501668282,233,5,415,0.00820024437871375,0.01374348565113899,1.0696927801824272,COMPLETE
28,0.8053460862961926,2026-05-15 02:15:22.153109,2026-05-15 02:15:23.088483,0 days 00:00:00.935374,0.7773670646884021,209,4,531,0.001960381278679385,0.045380373445253336,2.8232103323602336,COMPLETE
29,0.802751424897321,2026-05-15 02:15:23.088718,2026-05-15 02:15:23.803429,0 days 00:00:00.714711,0.16179195828823917,170,6,494,0.41230036360660244,0.02916907262882276,0.2985617305148642,COMPLETE
30,0.7821924788467269,2026-05-15 02:15:23.803651,2026-05-15 02:15:24.549969,0 days 00:00:00.746318,0.22962874630578656,36,10,634,0.22535796018592757,0.019757955844961296,0.9337168787608462,COMPLETE
31,0.8066324962066491,2026-05-15 02:15:24.550197,2026-05-15 02:15:25.586224,0 days 00:00:01.036027,0.38233883371742894,225,4,288,0.007615240241908425,0.014905066014018167,0.07338753800993518,COMPLETE
