number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_random_strength,state
19,0.7993830365530942,2026-05-15 02:23:48.693429,2026-05-15 02:23:49.527943,0 days 00:00:00.834514,0.0058791588729439894,76,5,812,1.4904625731678935,0.03702917556373974,0.7334512084242886,COMPLETE
20,0.7922889250650813,2026-05-15 02:23:49.528176,2026-05-15 02:23:50.419746,0 days 00:00:00.891570,0.17133381499578643,123,7,768,7.259890519648893,0.03696971126716002,1.025935840264162,COMPLETE
21,0.7948890211630726,2026-05-15 02:23:50.419992,2026-05-15 02:23:51.376497,0 days 00:00:00.956505,0.15600021502129907,87,4,578,1.361350717285513,0.06931156519965907,7.910094141064709,COMPLETE
22,0.7988826098493269,2026-05-15 02:23:51.376722,2026-05-15 02:23:52.074173,0 days 00:00:00.697451,0.2778398663051061,172,5,411,0.9688933861704258,0.04847583313925319,0.13151981628182155,COMPLETE
23,0.7978773818317424,2026-05-15 02:23:52.074408,2026-05-15 02:23:52.609108,0 days 00:00:00.534700,0.12463749795349335,49,4,971,0.14293212352893447,0.11563903644497156,2.912877606666296,COMPLETE
24,0.7983121893847578,2026-05-15 02:23:52.609366,2026-05-15 02:23:53.208560,0 days 00:00:00.599194,0.48948790877373494,128,6,639,3.2217839394426764,0.04578915213827846,0.0010040991577409542,COMPLETE
25,0.7991403532676903,2026-05-15 02:23:53.208788,2026-05-15 02:23:54.089567,0 days 00:00:00.880779,0.35148970325966794,100,5,914,0.28146510378980205,0.031371647918728235,0.21525123598776086,COMPLETE
26,0.7991603617300508,2026-05-15 02:23:54.089860,2026-05-15 02:23:54.749678,0 days 00:00:00.659818,0.24768282962956345,170,4,765,9.769656942728037,0.06274546583604665,0.013372501428914574,COMPLETE
27,0.7961412353611922,2026-05-15 02:23:54.749904,2026-05-15 02:23:55.266474,0 days 00:00:00.516570,0.0023003884147894576,60,5,437,2.8543791656485555,0.1267146541717139,1.8168077007519527,COMPLETE
28,0.7916858743124331,2026-05-15 02:23:55.266695,2026-05-15 02:23:55.819845,0 days 00:00:00.553150,0.7061895268886615,135,6,558,0.8326795425576268,0.0747227942263939,0.3707408943863085,COMPLETE
29,0.7999370343012457,2026-05-15 02:23:55.820076,2026-05-15 02:23:56.335865,0 days 00:00:00.515789,0.20481908634776835,92,4,512,0.31234283380761896,0.09607571294478556,0.06944628007275629,COMPLETE
30,0.7897723051326366,2026-05-15 02:23:56.336103,2026-05-15 02:23:56.717915,0 days 00:00:00.381812,0.20629152181849095,36,5,481,0.22680884055186343,0.0992478846871815,0.00600730647527837,COMPLETE
31,0.7982769056446813,2026-05-15 02:23:56.718140,2026-05-15 02:23:57.335678,0 days 00:00:00.617538,0.08348720852689531,92,4,541,0.36077511779989785,0.05095697986197004,0.0592318878028085,COMPLETE
32,0.7919593232980258,2026-05-15 02:23:57.335911,2026-05-15 02:23:57.777065,0 days 00:00:00.441154,0.5231991493554836,117,4,622,0.04957659490703918,0.1508829568554855,0.08994773174881646,COMPLETE
33,0.7998823158181595,2026-05-15 02:23:57.777319,2026-05-15 02:23:58.488027,0 days 00:00:00.710708,0.08286740454691059,71,4,410,0.1710300432937698,0.06490184741431605,0.019289298728937865,COMPLETE
34,0.7986042842492523,2026-05-15 02:23:58.488337,2026-05-15 02:23:59.074566,0 days 00:00:00.586229,0.07952556725618254,69,5,357,0.2042282336383016,0.06792478992700342,0.0061817686958953325,COMPLETE
35,0.7946563062513894,2026-05-15 02:23:59.074821,2026-05-15 02:23:59.532962,0 days 00:00:00.458141,0.20880100760306003,91,6,406,0.6823031506743746,0.10717717333693046,0.002180476875589503,COMPLETE
36,0.7713444395837666,2026-05-15 02:23:59.533205,2026-05-15 02:24:00.006914,0 days 00:00:00.473709,0.05255760314187258,53,8,439,0.08596504975799779,0.14410658900609613,0.018356888605858133,COMPLETE
37,0.8017857014794788,2026-05-15 02:24:00.007159,2026-05-15 02:24:01.075207,0 days 00:00:01.068048,0.12611820995366568,68,4,524,1.628002321614264,0.07883405904658358,3.9554325457788333,COMPLETE
38,0.7997365911030473,2026-05-15 02:24:01.075521,2026-05-15 02:24:02.256627,0 days 00:00:01.181106,0.12512199829408466,64,5,295,0.1202766914263258,0.030153855426664707,2.6212127156611738,COMPLETE
39,0.7701874627978859,2026-05-15 02:24:02.256863,2026-05-15 02:24:03.161593,0 days 00:00:00.904730,0.04329521961023018,79,4,517,0.4593310692588657,0.010497131276321781,4.985259432603799,COMPLETE
40,0.7999840792880143,2026-05-15 02:24:03.161831,2026-05-15 02:24:03.820003,0 days 00:00:00.658172,0.1215107322425147,44,6,219,5.057941622300951,0.07820643649946347,1.4519189113878799,COMPLETE
41,0.798967950602764,2026-05-15 02:24:03.820257,2026-05-15 02:24:04.444270,0 days 00:00:00.624013,0.12039191977126693,34,6,217,4.6536840894800156,0.08000349529262865,1.0954961264420855,COMPLETE
42,0.7968572371110363,2026-05-15 02:24:04.444510,2026-05-15 02:24:05.289024,0 days 00:00:00.844514,0.19268371637973733,43,7,257,1.4163474504012976,0.05919902041125113,4.7453956185304005,COMPLETE
43,0.797742557784296,2026-05-15 02:24:05.289266,2026-05-15 02:24:05.965433,0 days 00:00:00.676167,0.11455758987145204,76,6,320,1.0075866489590577,0.04280941785163361,1.463109365627233,COMPLETE
44,0.8028878880673546,2026-05-15 02:24:05.965673,2026-05-15 02:24:06.426183,0 days 00:00:00.460510,0.9986409325592858,59,5,377,0.5597665968281862,0.1994122918885323,3.5011899197220484,COMPLETE
45,0.7937187771172037,2026-05-15 02:24:06.426440,2026-05-15 02:24:06.870427,0 days 00:00:00.443987,0.950298325599391,53,7,354,0.5556781334319035,0.1886849223919635,3.0196269585235043,COMPLETE
46,0.7992256940211272,2026-05-15 02:24:06.870658,2026-05-15 02:24:07.324642,0 days 00:00:00.453984,0.4024977310586947,101,5,466,4.998209619822071,0.13704147824460375,0.6018041490314688,COMPLETE
47,0.7982164499680868,2026-05-15 02:24:07.324881,2026-05-15 02:24:07.853687,0 days 00:00:00.528806,0.787544336540727,61,6,253,1.7683177388323952,0.1650127284779618,4.278754029209191,COMPLETE
48,0.7772225529076814,2026-05-15 02:24:07.853927,2026-05-15 02:24:09.349606,0 days 00:00:01.495679,0.33269760783725444,82,5,671,4.006752455475617,0.013069281065754413,8.661171592590248,COMPLETE
49,0.7713938511628573,2026-05-15 02:24:09.349870,2026-05-15 02:24:10.084197,0 days 00:00:00.734327,0.03447586110816736,150,5,209,0.0010134446798603573,0.019201572958218085,0.2142140859564433,COMPLETE
50,0.7887631327945153,2026-05-15 02:24:10.084442,2026-05-15 02:24:10.854873,0 days 00:00:00.770431,0.8624488017822576,46,6,533,0.2994425650815178,0.04147820982375552,0.9834027752502303,COMPLETE
51,0.8002102681420815,2026-05-15 02:24:10.855099,2026-05-15 02:24:11.679126,0 days 00:00:00.824027,0.15756181923390472,67,4,386,0.2004873441972483,0.06000361375688319,2.0815250535956054,COMPLETE
52,0.8003452356193659,2026-05-15 02:24:11.679370,2026-05-15 02:24:12.183733,0 days 00:00:00.504363,0.16191653522911004,58,4,372,0.5787389116036677,0.08559133472786985,1.936595254019558,COMPLETE
53,0.8009980565256991,2026-05-15 02:24:12.183966,2026-05-15 02:24:13.072456,0 days 00:00:00.888490,0.12664512209671386,33,4,374,2.156880389131554,0.05600954569180084,1.895369141162093,COMPLETE
54,0.7982018918395594,2026-05-15 02:24:13.072689,2026-05-15 02:24:13.754151,0 days 00:00:00.681462,0.1539079871494946,32,4,384,2.071719868525248,0.056213302260856295,3.73919680858452,COMPLETE
55,0.7808657425004122,2026-05-15 02:24:13.754386,2026-05-15 02:24:14.715723,0 days 00:00:00.961337,0.0021720941192562293,55,4,318,0.66139128963659,0.028436086348428036,1.8103880562509116,COMPLETE
56,0.7919915232965915,2026-05-15 02:24:14.715945,2026-05-15 02:24:15.954096,0 days 00:00:01.238151,0.3011884170918581,40,4,384,1.207680283280283,0.03370059763389969,6.440363689729948,COMPLETE
57,0.7908240761325579,2026-05-15 02:24:15.954327,2026-05-15 02:24:16.691581,0 days 00:00:00.737254,0.9927990587395401,64,10,444,0.3903723950548354,0.05379648867370811,9.883990247368263,COMPLETE
58,0.7910293959452385,2026-05-15 02:24:16.691824,2026-05-15 02:24:17.152531,0 days 00:00:00.460707,0.15492095985692014,73,4,301,0.8216892256721117,0.07246694901768333,2.2760526407926736,COMPLETE
59,0.7907535803673238,2026-05-15 02:24:17.152757,2026-05-15 02:24:18.219516,0 days 00:00:01.066759,0.23915066154900155,85,9,378,2.25349439922057,0.026383215003359013,0.6997090234240299,COMPLETE
60,0.7995704993509799,2026-05-15 02:24:18.219760,2026-05-15 02:24:18.714135,0 days 00:00:00.494375,0.4841685970228064,232,4,834,0.0026445448172953,0.08561346841002407,0.42027748388416925,COMPLETE
61,0.8009312899362455,2026-05-15 02:24:18.714353,2026-05-15 02:24:19.795345,0 days 00:00:01.080992,0.09446236335988911,46,5,341,3.448752361477311,0.04024070518506756,1.3719867656022577,COMPLETE
62,0.7898729211637896,2026-05-15 02:24:19.795569,2026-05-15 02:24:20.506278,0 days 00:00:00.710709,0.04677642969926726,56,5,335,1.1957001783831034,0.04004333748684161,1.466709055426527,COMPLETE
